shape,hand,shape_name,ukeire_tiles,ukeire_type_count,ukeire_count,fixed_ryanmen_count,improve_neighbor_count,max_neighbor_ukeire_count,avg_neighbor_ukeire_count,score,distance_to_final,neighbor_count,neighbors
248888m,248888m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,8,8,5.882353,"(4, 1, 8, 8, 5.88235)",2,17,124888m 128888m 224888m 228888m 244888m 245888m 246888m 247888m 248889m 268888m 278888m 288889m 448888m 458888m 468888m 478888m 488889m
248889m,248889m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,5,8,4.947368,"(4, 1, 5, 8, 4.94737)",1,19,124888m 128889m 224888m 228889m 244888m 245888m 246888m 247888m 247889m 248888m 278889m 288889m 288899m 448889m 458889m 468889m 478889m 488889m 488899m
248999m,248999m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,8,8,5.500000,"(4, 1, 8, 8, 5.5)",2,20,124999m 128999m 224999m 228999m 244999m 245999m 246999m 247899m 247999m 249999m 268999m 278999m 288999m 289999m 448999m 458999m 468999m 478999m 488999m 489999m
249999m,249999m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,5,8,5.250000,"(4, 1, 5, 8, 5.25)",2,16,124999m 129999m 224999m 229999m 244999m 245999m 246999m 247999m 248999m 279999m 289999m 449999m 459999m 469999m 479999m 489999m
255557m,255557m33z,メンツ＋ターツ＋不要牌,6m,1,4,0,9,8,6.117647,"(4, 1, 9, 8, 6.11765)",2,17,125555m 125557m 155557m 225555m 225557m 235555m 235557m 245555m 245557m 255577m 255578m 255579m 355557m 455557m 555577m 555578m 555579m
255568m,255568m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,8,8,5.578947,"(4, 1, 8, 8, 5.57895)",2,19,125556m 125558m 155568m 225556m 225558m 235556m 235558m 245556m 245558m 255556m 255566m 255588m 255589m 355568m 455568m 555568m 555668m 555688m 555689m
255579m,255579m33z,メンツ＋ターツ＋不要牌,8m,1,4,0,7,8,5.368421,"(4, 1, 7, 8, 5.36842)",1,19,125557m 125559m 155579m 225557m 225559m 235557m 235559m 245557m 245559m 255557m 255567m 255577m 255599m 355579m 455579m 555579m 555679m 555779m 555799m
255589m,255589m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,4,8,4.888889,"(4, 1, 4, 8, 4.88889)",1,18,125558m 125559m 155589m 225558m 225559m 235558m 235559m 245558m 245559m 255568m 255588m 255599m 355589m 455589m 555589m 555689m 555889m 555899m
256779m,256779m33z,メンツ＋ターツ＋不要牌,8m,1,4,0,11,11,6.210526,"(4, 1, 11, 11, 6.21053)",2,19,125677m 125679m 156779m 225677m 225679m 235677m 235679m 245677m 245679m 255677m 256677m 256777m 256799m 356779m 456779m 556779m 566779m 567779m 567799m
257777m,257777m33z,メンツ＋ターツ＋不要牌,6m,1,4,0,9,8,6.117647,"(4, 1, 9, 8, 6.11765)",2,17,125777m 127777m 157777m 225777m 227777m 235777m 237777m 245777m 247777m 255777m 277778m 277779m 357777m 457777m 557777m 577778m 577779m
257789m,257789m33z,メンツ＋ターツ＋不要牌,6m,1,4,0,10,8,5.789474,"(4, 1, 10, 8, 5.78947)",2,19,125789m 127789m 157789m 225789m 227789m 235789m 237789m 245789m 247789m 255789m 277789m 277889m 277899m 357789m 457789m 557789m 577789m 577889m 577899m
